127.0.0.1 - - [07/Sep/2023:15:45:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:45:01 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:45:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:49:04 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:49:04 +0900] "GET /web011_JSON_BikeData/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:49:26 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:49:26 +0900] "GET /web011_JSON_BikeData/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:49:26 +0900] "GET /web011_JSON_BikeData/json/jiyeok.json HTTP/1.1" 200 2323218
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:50:20 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:50:20 +0900] "GET /web011_JSON_BikeData/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:50:42 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:50:42 +0900] "GET /web011_JSON_BikeData/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [07/Sep/2023:15:50:42 +0900] "GET /web011_JSON_BikeData/json/jiyeok.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:16:13:23 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [07/Sep/2023:16:13:23 +0900] "GET /web011_JSON_BikeData/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [07/Sep/2023:16:13:23 +0900] "GET /web011_JSON_BikeData/json/jiyeok.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:16:13:44 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [07/Sep/2023:16:13:44 +0900] "GET /web011_JSON_BikeData/js/jquery-3.7.0.js HTTP/1.1" 200 284996
0:0:0:0:0:0:0:1 - - [07/Sep/2023:16:14:28 +0900] "GET /web011_JSON_BikeData/index.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [07/Sep/2023:16:14:28 +0900] "GET /web011_JSON_BikeData/js/jquery-3.7.0.js HTTP/1.1" 200 284996
